address,name,symbol,onchain_mcap
0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,62992381546.09
0xB8c77482e45F1F44dE1745F52C74426C631bDD52,BNB,BNB,243880672.31
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,USDC,27285480118.0
0xae7ab96520de3a18e5e111b5eaab095312d7fe84,stETH,stETH,30326899692.58
0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,SHIBA INU,SHIB,25499549732.67
0x582d872a1b094fc48f5de31d3b73f2d9be47def1,Wrapped TON Coin,TONCOIN,62244406.8
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,Wrapped BTC,WBTC,13365413124.0
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,Wrapped liquid staked Ether 2.0,wstETH,13222285250.0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,9033235567.57
0x6982508145454ce325ddbe47a25d4ec3d2311933,Pepe,PEPE,9869385054.0
0x0000000000a39bb272e79075ade125fd351887ac,Blur Pool,Blur Pool,46945126.25
0x514910771af9ca656af840dff83e8264ecf986ca,ChainLink Token,LINK,13880000000.0
0x21c2c96dbfa137e23946143c71ac8330f9b44001,Polkadot (IBC),DOT,25.95
0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,Bitfinex LEO Token,LEO,5062200000.0
0x85f17cf997934a597031b2e18a9ab6ebd4b9f6a4,NEAR,NEAR,11185886.0
0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee,Wrapped eETH,weETH,5555258588.88
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap,UNI,8590000000.0
0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,Cronos Coin,CRO,17230100000.0
0xcf7e6742266ad5a76ee042e26d3f766c34195e5f,dogwifhat (IBC),WIF,11.76
0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,Fetch,FET,3508147127.13
0x6b175474e89094c44da98b954eedeac495271d0f,Dai Stablecoin,DAI,3287699682.0
0x925206b8a707096ed26ae47c84747fe0bb734f59,WBT,WBT,4176476148.24
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,USDe,USDe,3171500458.24
0x4aef9bd3fbb09d8f374436d9ec25711a1be9bacb,Bonk (IBC),BONK,40.23
0x455e53CBB86018Ac2B8092FdCd39d8444aFFC3F6,Polygon Ecosystem Token,POL,3847331730.37
0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,Render Token,RNDR,3796375066.73
0x75231f58b43240c9718dd58b4967c5114342a86c,OKB,OKB,13212000000.0
0xc5f0f7b66764F6ec8C8Dff7BA683102295E16409,First Digital USD,FDUSD,2559633211.14
0xcf0c122c6b73ff809c693db761e7baebe62b6a2e,FLOKI,FLOKI,2673300000.0
0x6e1A19F235bE7ED8E3369eF73b196C07257494DE,Wrapped Filecoin,WFIL,12321.69
